ResourceName,AvailableCards
1x1_magician_brain,the_emperor;the_hierophant;page_of_daggers;queen_of_daggers;queen_of_daggers;knight_of_daggers
2x1_moon_brain,the_hermit;the_emperor;the_empress;page_of_thorns;king_of_thorns;queen_of_thorns
2x2_sun_brain,the_emperor;the_hierophant;the_moon;the_hanged_man;the_star;page_of_herbs;king_of_herbs;queen_of_herbs;knight_of_herbs
4x2_sun_brain,the_high_priestess;the_moon;the_emperor;the_star;page_of_flags;knight_of_flags;king_of_flags
4x1_lovers_brain,the_high_priestess;justice;the_lovers;the_empress;the_hierophant;the_magician;queen_of_daggers;queen_of_daggers;knight_of_daggers
5x3_moon_brain,the_hanged_man;the_hermit;the_emperor;the_lovers;the_high_priestess;the_empress;page_of_thorns;king_of_thorns;queen_of_thorns
5x2_high_pristess_brain,the_hermit;the_moon;the_hierophant;the_hanged_man;the_sun;the_lovers;strength;page_of_herbs;king_of_herbs;queen_of_herbs;knight_of_herbs
6x1_high_priestess_brain,the_hermit;the_moon;the_hierophant;the_magician;the_hanged_man;the_lovers;the_chariot;page_of_flags;knight_of_flags;king_of_flags
6x3_lovers_brain,the_hermit;the_star;the_emperor;the_magician;the_high_priestess;the_lovers;strength;page_of_daggers;queen_of_daggers;queen_of_daggers;knight_of_daggers
7_boss_star_brain,the_moon;the_sun;the_chariot;the_world;the_hierophant;strength;the_lovers;the_hermit;the_magician;page_of_herbs;king_of_herbs;queen_of_herbs;knight_of_herbs
